,OCCUPANCY_DATE,ORGANIZATION_NAME,SHELTER_GROUP,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,PROGRAM_ID,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,OCCUPIED_BEDS,CAPACITY_ACTUAL_ROOM,OCCUPIED_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS,Max Temp (Â°C),Min Temp (Â°C),Mean Temp (Â°C),Heat Deg Days (Â°C),Cool Deg Days (Â°C),Total Precip (mm),Snow on Grnd (cm),Inflation_Rate_Change,YEAR_MONTH,Population,Unemployment rate 10,Participation rate 11,Employment rate 12,GEO,CPI_Type,CPI_Value
26,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,15731,Room Based Capacity,,,22.0,20.0,,90.91,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Services,155.7
27,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,15731,Room Based Capacity,,,22.0,20.0,,90.91,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Goods,121.5
28,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,15731,Room Based Capacity,,,22.0,20.0,,90.91,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Energy,150.4
29,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,15731,Room Based Capacity,,,22.0,20.0,,90.91,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding energy,138.7
30,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding food and energy,135.2
31,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,15731,Room Based Capacity,,,22.0,20.0,,90.91,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding food and energy,135.2
32,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding energy,138.7
33,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Goods,121.5
34,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Energy,150.4
35,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding energy,138.7
36,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding food and energy,135.2
37,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",177.2
38,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Recreation, education and reading",117.3
39,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Health and personal care,130.1
40,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Gasoline,162.5
41,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Transportation,145.3
42,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Clothing and footwear,88.3
43,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Household operations, furnishings and equipment",126.6
44,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Shelter,151.1
45,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Food,157.1
46,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items,139.5
47,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Services,155.7
48,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Goods,121.5
49,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Energy,150.4
50,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding energy,138.7
51,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding food and energy,135.2
52,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",177.2
53,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Recreation, education and reading",117.3
54,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Health and personal care,130.1
55,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Gasoline,162.5
56,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Transportation,145.3
57,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Clothing and footwear,88.3
58,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Household operations, furnishings and equipment",126.6
59,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Shelter,151.1
60,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Food,157.1
61,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,14 Vaughan Rd,M6G 2N1,11794,Bed Based Capacity,35.0,35.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items,139.5
62,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Services,155.7
63,2021-01-01,Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,21 Park Rd,M4W 2N1,15031,Bed Based Capacity,25.0,24.0,,,96.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Energy,150.4
64,2021-01-01,Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,26 Vaughan Rd,M6G 2C4,11871,Bed Based Capacity,15.0,11.0,,,73.33,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Goods,121.5
65,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,15731,Room Based Capacity,,,22.0,20.0,,90.91,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",177.2
66,2021-01-01,Kennedy House Youth Services,Kennedy House Youth Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,15731,Room Based Capacity,,,22.0,20.0,,90.91,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Health and personal care,130.1
67,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,12032,Bed Based Capacity,83.0,79.0,,,95.18,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Household operations, furnishings and equipment",126.6
68,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,12032,Bed Based Capacity,83.0,79.0,,,95.18,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Shelter,151.1
69,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,12032,Bed Based Capacity,83.0,79.0,,,95.18,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Food,157.1
70,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,12032,Bed Based Capacity,83.0,79.0,,,95.18,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items,139.5
71,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Services,155.7
72,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Goods,121.5
73,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Energy,150.4
74,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding energy,138.7
75,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,All-items excluding food and energy,135.2
76,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",177.2
77,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,"Recreation, education and reading",117.3
78,2021-01-01,Homes First Society,HFS - Strachan House,HFS Strachan House,805A Wellington St W,M5V 1G8,13311,Bed Based Capacity,3.0,3.0,,,100.0,,2.5,-1.0,0.7,17.3,0.0,6.8,0.0,0.8,2021-01,5460100.0,12.2,66.9,58.8,Ontario,Health and personal care,130.1
