_id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME,SECTOR,PROGRAM_MODEL,OVERNIGHT_SERVICE_TYPE,PROGRAM_AREA,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
11,2025-01-01,23,"Christie Refugee Welcome Centre, Inc.",39,Christie Refugee Welcome Centre,1052,Christie Refugee Welcome Centre,43 Christie St,M6G 3B1,Toronto,ON,12233,Christie Refugee Welcome Centre - Settlement and Support,Families,Emergency,Shelter,Base Program - Refugee,72,Room Based Capacity,,,,,,29,30,29,0,1,,100
12,2025-01-01,1,City of Toronto,53,Birkdale Residence,1070,TSSS Birkdale Residence,1229 Ellesmere Rd,M1P 4V8,Toronto,ON,12351,Birkdale Residence - Bedded Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,224,Room Based Capacity,,,,,,64,65,63,1,1,,98.44
13,2025-01-01,1,City of Toronto,53,Birkdale Residence,1561,885 Scarborough Golf Club Road,885 Scarborough Golf Club Road,M1G 1J6,Toronto,ON,17931,TSSS - Warming Centre - Scarborough Golf Club Road,Mixed Adult,Emergency,Warming Centre,Winter Programs,7,Bed Based Capacity,7,45,7,0,38,,,,,,100,
14,2025-01-01,1,City of Toronto,60,Downsview Dells,1009,TSSS Downsview Dells,1651 Sheppard Ave W,M3M 2X4,Toronto,ON,11815,Downsview Dells Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,16,Bed Based Capacity,18,18,16,2,0,,,,,,88.89,
15,2025-01-01,1,City of Toronto,83,Expansion  Sites,1194,Scarborough Women's Shelter - Milner,20 Milner Business Ct,M1B 3M6,Scarborough,ON,16471,Scarborough Women's Shelter - Milner,Women,Emergency,Motel/Hotel Shelter,Temporary Programs,105,Room Based Capacity,,,,,,105,106,105,0,1,,100
16,2025-01-01,1,City of Toronto,2,Family Residence,1065,TSSS Family Residence,4222 Kingston Rd,M1E 2M6,Toronto,ON,12311,Family Residence - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,117,Room Based Capacity,,,,,,32,43,32,0,11,,100
17,2025-01-01,1,City of Toronto,2,Family Residence,1066,TSSS Scarborough Hotel Program 3,4674 Kingston Rd,M1E 2P9,Toronto,ON,12392,TSSS Scarborough Hotel 3 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,144,Room Based Capacity,,,,,,46,40,46,0,0,,100
18,2025-01-01,1,City of Toronto,2,Family Residence,1067,TSSS Scarborough Hotel Program 4,4540 Kingston Rd,M1E 2N8,Toronto,ON,12391,TSSS Scarborough Hotel 4 - Family Program,Families,Emergency,Motel/Hotel Shelter,Base Shelter and Overnight Services System,33,Room Based Capacity,,,,,,14,20,14,0,6,,100
19,2025-01-01,1,City of Toronto,62,Fort York Residence,1011,TSSS Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,11831,Fort York Residence Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,68,Bed Based Capacity,68,68,68,0,0,,,,,,100,
20,2025-01-01,1,City of Toronto,62,Fort York Residence,1011,TSSS Fort York Residence,38 Bathurst St,M5V 3W3,Toronto,ON,12711,Fort York SRO Units Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,48,Bed Based Capacity,48,48,48,0,0,,,,,,100,
21,2025-01-01,1,City of Toronto,94,Progress Shelter,1360,Progress Avenue Shelter,705 Progress Ave,M1H 2X1,Toronto,ON,16951,Progress Shelter,Men,Emergency,Shelter,Base Shelter and Overnight Services System,101,Bed Based Capacity,101,101,101,0,0,,,,,,100,
22,2025-01-01,1,City of Toronto,54,Robertson House,1069,Robertson House,291 Sherbourne St,M5A 2R9,Toronto,ON,12331,Robertson House - Main Program,Families,Emergency,Shelter,Base Shelter and Overnight Services System,101,Room Based Capacity,,,,,,35,37,35,0,2,,100
23,2025-01-01,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163,TSSS Etobicoke Hotel Program,,,,,16551,TSSS Etobicoke Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,170,Room Based Capacity,,,,,,149,134,149,0,0,,100
24,2025-01-01,1,City of Toronto,82,SSHA Etobicoke Hotel Program,1163,TSSS Etobicoke Hotel Program,,,,,15391,TSSS Recovery Program,Mixed Adult,Emergency,Isolation/Recovery Site,Temporary Programs,3,Room Based Capacity,,,,,,3,14,3,0,11,,100
25,2025-01-01,1,City of Toronto,59,Scarborough Village Residence,1151,TSSS Scarborough Village Residence,3306 Kingston Rd,M1M 1P8,Toronto,ON,14811,Scarborough Village Residence Main Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,93,Bed Based Capacity,93,93,93,0,0,,,,,,100,
26,2025-01-01,1,City of Toronto,3,Seaton House,1154,TSSS Junction Place,731 Runnymede Rd,M6N 3V7,Toronto,ON,15171,Junction Place,Men,Emergency,Shelter,Base Shelter and Overnight Services System,62,Bed Based Capacity,62,62,62,0,0,,,,,,100,
27,2025-01-01,1,City of Toronto,3,Seaton House,1008,TSSS Seaton House,339 George St,M5A 2N2,Toronto,ON,11812,Seaton House - Annex Harm Reduction & Managed Alcohol Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,63,Bed Based Capacity,68,68,63,5,0,,,,,,92.65,
28,2025-01-01,1,City of Toronto,3,Seaton House,1008,TSSS Seaton House,339 George St,M5A 2N2,Toronto,ON,15051,Seaton House - Fourth Floor Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,122,Bed Based Capacity,122,122,122,0,0,,,,,,100,
29,2025-01-01,1,City of Toronto,3,Seaton House,1008,TSSS Seaton House,339 George St,M5A 2N2,Toronto,ON,15191,Seaton House - Infirmary Bedded Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,28,Bed Based Capacity,36,36,28,8,0,,,,,,77.78,
30,2025-01-01,1,City of Toronto,3,Seaton House,1190,TSSS Downtown Response Program,76 Church St,M5C 2G1,Toronto,ON,15751,Seaton House Hostel Response Program,Men,Emergency,Shelter,Base Shelter and Overnight Services System,53,Bed Based Capacity,53,53,53,0,0,,,,,,100,
31,2025-01-01,1,City of Toronto,3,Seaton House,1008,TSSS Seaton House,339 George St,M5A 2N2,Toronto,ON,17091,Seaton House Winter Program,Men,Emergency,Shelter,Winter Programs,101,Bed Based Capacity,101,107,101,0,6,,,,,,100,
32,2025-01-01,1,City of Toronto,6,Streets To Homes,1004,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,Toronto,ON,12952,Streets to Homes Bedded Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,32,Bed Based Capacity,35,35,32,3,0,,,,,,91.43,
33,2025-01-01,1,City of Toronto,100,Toronto Plaza,1123,TSSS North Hotel Program,3600 Steeles Ave W,L4L 8P5,Vaughan,ON,14051,Fort York Residence North Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,49,Room Based Capacity,,,,,,60,45,49,11,0,,81.67
34,2025-01-01,1,City of Toronto,100,Toronto Plaza,1103,TSSS North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,17012,TSSS North York West Hotel - North - Couples,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,22,Room Based Capacity,,,,,,13,12,13,0,0,,100
35,2025-01-01,1,City of Toronto,100,Toronto Plaza,1103,TSSS North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16671,TSSS North York West Hotel - North - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,83,Room Based Capacity,,,,,,83,83,83,0,0,,100
36,2025-01-01,1,City of Toronto,100,Toronto Plaza,1103,TSSS North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,17011,TSSS North York West Hotel - South - Couples,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,26,Room Based Capacity,,,,,,13,14,13,0,1,,100
37,2025-01-01,1,City of Toronto,100,Toronto Plaza,1103,TSSS North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16271,TSSS North York West Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,76,Room Based Capacity,,,,,,76,77,76,0,1,,100
38,2025-01-01,1,City of Toronto,4,Women's Residence,1124,TSSS Downtown Hotel Program,77 Ryerson Ave,M5T 2V4,Toronto,ON,14631,TSSS Downtown Hotel Women's Program,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,64,Room Based Capacity,,,,,,64,66,62,2,2,,96.88
39,2025-01-01,1,City of Toronto,4,Women's Residence,1005,TSSS Womens' Residence,674 Dundas St W,M5H 1H9,Toronto,ON,11798,Womens' Residence - Main Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,87,Bed Based Capacity,87,88,87,0,1,,,,,,100,
40,2025-01-01,13,Cornerstone Place,21,Cornerstone Place,1028,Cornerstone Place,616 Vaughan Rd,M6C 2R5,Toronto,ON,11971,Cornerstone Place,Men,Emergency,Shelter,Base Shelter and Overnight Services System,28,Bed Based Capacity,28,28,28,0,0,,,,,,100,
41,2025-01-01,12,Covenant House Toronto,20,Covenant House,1661,CHT Thrive Transitional Shelter,18 Fourteenth Street,M8V 3H9,Toronto,ON,18531,CHT Thrive Transitional shelter for refugee youth,Youth,Transitional,Shelter,Temporary Refugee Response,28,Bed Based Capacity,28,64,28,0,36,,,,,,100,
42,2025-01-01,12,Covenant House Toronto,20,Covenant House,1026,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,13371,Covenant House -  Transitional Safe Beds for women,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,1,Bed Based Capacity,2,2,1,1,0,,,,,,50,
43,2025-01-01,12,Covenant House Toronto,20,Covenant House,1621,Covenant House - Madison,158 Madison Ave.,M5R 2S5,Toronto,ON,18211,Covenant House - Madison House - Refugee Youth,Youth,Transitional,Shelter,Temporary Refugee Response,9,Bed Based Capacity,10,10,9,1,0,,,,,,90,
44,2025-01-01,12,Covenant House Toronto,20,Covenant House,1026,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,11951,Covenant House Residence,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,94,Bed Based Capacity,94,94,94,0,0,,,,,,100,
45,2025-01-01,12,Covenant House Toronto,20,Covenant House,1026,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,18171,Covenant House Residence - Refugee Youths,Youth,Emergency,Shelter,Temporary Refugee Response,9,Bed Based Capacity,9,9,9,0,0,,,,,,100,
46,2025-01-01,12,Covenant House Toronto,20,Covenant House,1026,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,Toronto,ON,17851,Covenant House Residence - Winter Respite,Youth,Emergency,24-Hour Respite Site,Winter Programs,30,Bed Based Capacity,30,30,30,0,0,,,,,,100,
47,2025-01-01,12,Covenant House Toronto,20,Covenant House,1027,Covenant House McGill St,21 McGill St,M5B 1H3,Toronto,ON,11955,Covenant House Rights of Passage,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,27,Bed Based Capacity,28,28,27,1,0,,,,,,96.43,
48,2025-01-01,6,Dixon Hall,80,351 Lakeshore Respite Services,1149,Dixon Hall 351 Lake Shore Blvd E Respite,351 Lake Shore Blvd E,M5A 1C1,Toronto,ON,14791,Dixon Hall 351 Lake Shore Blvd E. Respite,Mixed Adult,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,78,Bed Based Capacity,78,78,78,0,0,,,,,,100,
49,2025-01-01,6,Dixon Hall,80,351 Lakeshore Respite Services,1125,HFS 195 Princes' Blvd ,195 Princes' Blvd,M6K 3C3,Toronto,ON,17991,Dixon Hall Winter Respite - BLC,Mixed Adult,Emergency,24-Hour Respite Site,Winter Programs,123,Bed Based Capacity,148,150,123,25,2,,,,,,83.11,
50,2025-01-01,6,Dixon Hall,9,Dixon Hall - Heyworth House,1128,Dixon Hall 354 George St,354 George St,M5A 2N3,Scarborough,ON,15331,Dixon Hall - 354 George,Mixed Adult,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,50,Bed Based Capacity,50,50,50,0,0,,,,,,100,
51,2025-01-01,6,Dixon Hall,9,Dixon Hall - Heyworth House,1015,Dixon Hall Heyworth House,2714 Danforth Ave,M4C 1L7,Toronto,ON,11892,Dixon Hall - Heyworth House,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,62,Bed Based Capacity,62,62,62,0,0,,,,,,100,
52,2025-01-01,6,Dixon Hall,14,Dixon Hall - Schoolhouse,1020,Dixon Hall Schoolhouse,349 George St,M5A 2N2,Toronto,ON,11897,Dixon Hall - Schoolhouse,Men,Emergency,Shelter,Base Shelter and Overnight Services System,30,Bed Based Capacity,30,30,30,0,0,,,,,,100,
53,2025-01-01,11,Eva's Initiatives,19,Eva's Phoenix,1025,Eva's Phoenix,60 Brant St,M5V 3G9,Toronto,ON,11932,Eva's Phoenix,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,49,Bed Based Capacity,50,50,49,1,0,,,,,,98,
54,2025-01-01,11,Eva's Initiatives,18,Eva's Place,1024,Eva's Place,360 Lesmill Rd,M3B 2T5,Toronto,ON,11931,Eva's Place,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,40,Bed Based Capacity,40,40,40,0,0,,,,,,100,
55,2025-01-01,11,Eva's Initiatives,18,Eva's Place,1155,Eva's Satellite Scarborough Hotel Program,4584 Kingston Rd,M1E 2P4,Scarborough,ON,17751,Eva's Satellite - Kingston Road,Youth,Emergency,Motel/Hotel Shelter,Temporary Programs,46,Room Based Capacity,,,,,,46,24,46,0,0,,100
56,2025-01-01,25,Fife House Foundation,41,Fife House Transitional Program,1053,Fife House Denison Ave,70 Denison Ave,M5T 2M8,Toronto,ON,12252,Fife House Denison Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,5,Bed Based Capacity,5,5,5,0,0,,,,,,100,
57,2025-01-01,25,Fife House Foundation,41,Fife House Transitional Program,1054,Fife House Sherbourne St,490 Sherbourne St,M4X 1K9,Toronto,ON,12253,Fife-Sherbourne Transitional Program,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System,11,Bed Based Capacity,11,11,11,0,0,,,,,,100,
58,2025-01-01,26,Fred Victor Centre,58,FV Women's Transition to Housing,1099,Fred Victor Centre Transition to Housing Dundas St E,386 Dundas St E,M5A 2A5,Toronto,ON,13331,Fred Victor T2H Bedded Program,Women,Transitional,Shelter,Base Shelter and Overnight Services System,36,Bed Based Capacity,37,37,36,1,0,,,,,,97.3,
59,2025-01-01,26,Fred Victor Centre,58,FV Women's Transition to Housing,1081,Fred Victor Mary Sheffield House,512 Jarvis St,M4Y 2H6,Toronto,ON,13191,Fred Victor Transition to Housing Bedded Program,Women,Transitional,Shelter,Base Shelter and Overnight Services System,24,Bed Based Capacity,26,26,24,2,0,,,,,,92.31,
60,2025-01-01,26,Fred Victor Centre,42,Fred Victor Women's Hostel,1007,Adelaide Resource Centre for Women,67 Adelaide St E,M5C 1K6,Toronto,ON,16391,Fred Victor The Phoenix Women's 24/7 Drop-In,Women,Emergency,24-Hour Women's Drop-in,Base Shelter and Overnight Services System,52,Bed Based Capacity,52,52,52,0,0,,,,,,100,
61,2025-01-01,26,Fred Victor Centre,42,Fred Victor Women's Hostel,1193,Fred Victor Centre Fatima House,1059 College Street,M6H 1B1,Toronto,ON,12256,Fred Victor Women's Hostel Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,36,Bed Based Capacity,36,36,36,0,0,,,,,,100,
62,2025-01-01,26,Fred Victor Centre,44,"Fred Victor, BUS",1055,Fred Victor Centre Bethlehem United Shelter,1161 Caledonia Rd,M6A 2W9,Toronto,ON,12254,Fred Victor Bethlehem United Program,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,70,Bed Based Capacity,70,70,70,0,0,,,,,,100,
63,2025-01-01,26,Fred Victor Centre,44,"Fred Victor, BUS",1130,Fred Victor Uptown Hotel Program,185 Yorkland Blvd,M2J 4R2,North York,ON,15631,Fred Victor Uptown Hotel Program,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,283,Room Based Capacity,,,,,,270,271,270,0,1,,100
64,2025-01-01,26,Fred Victor Centre,72,Fred Victor-Better Living Centre,1152,Fred Victor Centre 1A Strachan Ave Respite,1A Strachan Ave,M6K 3C3,Toronto,ON,14931,Fred Victor 1A Strachan Ave Respite,Mixed Adult,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,69,Bed Based Capacity,70,70,69,1,0,,,,,,98.57,
65,2025-01-01,26,Fred Victor Centre,72,Fred Victor-Better Living Centre,1521,Fred Victor Elizabeth,81 Elizabeth Street,M5G 1P4,Toronto,ON,17871,Fred Victor Warming Centre - Elizabeth,Mixed Adult,Emergency,Warming Centre,Winter Programs,1,Bed Based Capacity,1,98,1,0,97,,,,,,100,
66,2025-01-01,26,Fred Victor Centre,72,Fred Victor-Better Living Centre,1125,HFS 195 Princes' Blvd ,195 Princes' Blvd,M6K 3C3,Toronto,ON,17971,Fred Victor Winter Respite - BLC,Mixed Adult,Emergency,24-Hour Respite Site,Winter Programs,146,Bed Based Capacity,150,150,146,4,0,,,,,,97.33,
67,2025-01-01,39,Friends of Ruby,85,Friends of Ruby,1187,Friends of Ruby,,,,,16252,Friends of Ruby - Emergency Housing,Youth,Emergency,Shelter,Base Shelter and Overnight Services System,6,Bed Based Capacity,6,6,6,0,0,,,,,,100,
68,2025-01-01,39,Friends of Ruby,85,Friends of Ruby,1187,Friends of Ruby,,,,,16251,Friends of Ruby - Transitional Housing,Youth,Transitional,Shelter,Base Shelter and Overnight Services System,20,Bed Based Capacity,26,27,20,6,1,,,,,,76.92,
69,2025-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1022,Good Shepherd Centre,412 Queen St E,M5A 1T3,Toronto,ON,11899,Good Shepherd - D.A.R.E.,Men,Transitional,Shelter,Base Shelter and Overnight Services System,23,Bed Based Capacity,25,25,23,2,0,,,,,,92,
70,2025-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1022,Good Shepherd Centre,412 Queen St E,M5A 1T3,Toronto,ON,11900,Good Shepherd - Emergency/Resettlement,Men,Emergency,Shelter,Base Shelter and Overnight Services System,35,Bed Based Capacity,35,35,35,0,0,,,,,,100,
71,2025-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1021,Good Shepherd Centre Barrett House,35 Sydenham St,M5A 4H5,Toronto,ON,11898,Good Shepherd Barrett House - Men's Program,Men,Transitional,Shelter,Base Shelter and Overnight Services System,5,Bed Based Capacity,5,5,5,0,0,,,,,,100,
72,2025-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1022,Good Shepherd Centre,412 Queen St E,M5A 1T3,Toronto,ON,18011,Good Shepherd Centre - Top Bunk,Men,Emergency,Top Bunk Contingency Space,Base Shelter and Overnight Services System,21,Bed Based Capacity,21,21,21,0,0,,,,,,100,
73,2025-01-01,10,Good Shepherd Ministries,16,Good Shepherd Centre,1168,Good Shepherd Centre West End Hotel Program,335 Jarvis St,M5B 2C2,Toronto,ON,15531,Good Shepherd Centre West End Hotel - Men's Program,Men,Emergency,Motel/Hotel Shelter,Temporary Programs,47,Room Based Capacity,,,,,,47,47,47,0,0,,100
74,2025-01-01,15,Homes First Society,68,HFS - Kennedy Shelter,1108,HFS Kennedy Rd Women's Shelter,702 Kennedy Rd,M1K 2B5,Toronto,ON,13591,Homes First Society- Kennedy Shelter Women's Program,Women,Emergency,Shelter,Base Shelter and Overnight Services System,61,Bed Based Capacity,61,61,61,0,0,,,,,,100,
75,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1150,HFS 545 Lake Shore Blvd W Shelter,545 Lake Shore Blvd W,M5V 1A3,Toronto,ON,14831,545 Lake Shore Blvd W. Couples,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,89,Bed Based Capacity,89,112,89,0,23,,,,,,100,
76,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1150,HFS 545 Lake Shore Blvd W Shelter,545 Lake Shore Blvd W,M5V 1A3,Toronto,ON,14951,545 Lake Shore Blvd W. Men,Men,Emergency,Shelter,Base Shelter and Overnight Services System,32,Bed Based Capacity,32,34,32,0,2,,,,,,100,
77,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1150,HFS 545 Lake Shore Blvd W Shelter,545 Lake Shore Blvd W,M5V 1A3,Toronto,ON,14832,545 Lake Shore Blvd W. Women,Women,Emergency,Shelter,Base Shelter and Overnight Services System,61,Bed Based Capacity,61,66,61,0,5,,,,,,100,
78,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1150,HFS 545 Lake Shore Blvd W Shelter,545 Lake Shore Blvd W,M5V 1A3,Toronto,ON,15131,545 Lakeshore Blvd W. Men Respite Program Lower Level,Men,Emergency,24-Hour Respite Site,Base Shelter and Overnight Services System,72,Bed Based Capacity,72,75,72,0,3,,,,,,100,
79,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1195,HFS - Lawrence East Shelter,4117 Lawrence Ave E,M1E 2S2,Scarborough,ON,16491,HFS - Lawrence East Shelter,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,89,Bed Based Capacity,89,89,89,0,0,,,,,,100,
80,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1153,HFS Willowdale Centre,5800 Yonge St,M2M 3T3,North York,ON,17772,HFS - Willowdale - Building A - Refugee Men,Men,Emergency,Shelter,Temporary Refugee Response,276,Bed Based Capacity,276,278,276,0,2,,,,,,100,
81,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1153,HFS Willowdale Centre,5800 Yonge St,M2M 3T3,North York,ON,17771,HFS - Willowdale - Building B - Refugee Women,Women,Emergency,Shelter,Temporary Refugee Response,131,Bed Based Capacity,131,132,131,0,1,,,,,,100,
82,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1153,HFS Willowdale Centre,5800 Yonge St,M2M 3T3,North York,ON,17791,HFS - Willowdale - Refugee Men - Building A - ASP,Men,Emergency,Alternative Space Protocol,Winter Programs,6,Bed Based Capacity,6,6,6,0,0,,,,,,100,
83,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1179,Multiple Youth & Adult Agencies Scarborough Hotel Program,2035 Kennedy Rd,M1T 3G2,Scarborough,ON,16011,HFS Scarborough Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Programs,250,Room Based Capacity,,,,,,222,291,222,0,69,,100
84,2025-01-01,15,Homes First Society,24,HFS - Scarborough Shelter,1220,HFS - Metro Strachan,22 Metropolitan Rd,M1R 2T5,Toronto,ON,17831,Homes First Society - Metro - Refugee Respite.,Mixed Adult,Emergency,24-Hour Respite Site,Temporary Refugee Response,37,Bed Based Capacity,38,38,37,1,0,,,,,,97.37,
